ID,Decreased_Death,Enjoyment,Flow,Increased_Distance,NetScore,game_experience,game_skill,mario_experience,sl,RATIO,DET,DIV,Lmax,Lmean,LmeanwithoutMain,ENTR,TREND,LAM,Vmax,Vmean,REC
1,3,5,3.7222222222222223,10,2400,7,3,3,8.870663616,3585.756736830335,0.6287871547357354,0.16666666666666666,6,12.567335243553009,2.135755258126195,0.4180597317590163,-5.452984922139896e-9,0.07091656312721017,7,2.231578947368421,1.7535689141354247e-4
2,0,5,5.638888888888889,-9,-800,0,3,0,4.23785504,2681.4420578128884,0.6188171451618817,0.125,8,6.4588595484117874,2.2993874425727414,0.7020423390138828,-3.766798907690672e-8,0.17827155061782715,6,2.602783725910064,0.00023077774265486771
3,-1,5,6.166666666666667,4,5800,0,4,0,0.01100513573,38.82649147704828,0.6468985643348152,0.04,25,2.9493848048525027,2.9242934159580494,1.3307741324479245,-3.983533734500155e-6,0.5674055785702926,26,3.941581876913688,0.016661267596564062
4,-2,3,5.527777777777778,0,0,15,3,0,0.01386861314,38.44823206020672,0.68125934255657,0.03225806451612903,31,3.0075055856244592,2.9847771969131194,1.3711949889359263,-2.1704695383772876e-6,0.6716636176822612,32,4.218252164725742,0.01771887304180267
5,5,2,4.277777777777778,46,33150,5,3,0,1.184654919,3784.109081770538,0.6502426827474629,0.2,5,12.406922357343312,2.2172284644194757,0.5689643312846914,-2.118999896729166e-8,0.11913516693631417,6,2.6384364820846904,1.718350789304473e-4
6,2,2,3.361111111111111,3,-2200,0,6,0,0.400775467,1519.1861003377487,0.5119275358978496,0.16666666666666666,6,4.637920233869284,2.2690058479532165,0.6565924177880467,-7.625387007806259e-9,0.18208219051789706,6,2.4610591900311527,3.3697486817713557e-4
7,2,4,4.75,5,-200,1,3,0,0.3612546125,72.52174115809103,0.6246075269826744,0.03571428571428571,28,2.8634450450123916,2.8143496620090978,1.2445981181602006,-2.243503031153639e-6,0.5633565349907546,29,3.7638180005414292,0.008612693476582212
8,1,3,4.111111111111111,1,0,0,2,0,0.1357711803,212.2252219063109,0.761852043762797,0.021739130434782608,46,3.8349438705748526,3.708054693783753,1.747835910533442,-9.430972041585831e-7,0.7206709139010566,47,5.653773145660972,0.003589827999327642
9,-1,4,5.777777777777778,2,1e3,5,4,0,0.03388581952,102.48757545903813,0.645068843650337,0.03571428571428571,28,2.8760925851390398,2.810875755427665,1.2405072255507656,-1.2034546596788314e-6,0.6289031500062653,29,3.7822299651567945,0.006294117513865433
10,5,5,6.166666666666667,16,4600,10,4,1,0.4823269514,310.87545675995807,0.423608649415101,0.07142857142857142,14,2.849165516375957,2.3948799464569563,0.8211099375958038,2.6861452874239444e-8,0.34454001007481483,15,3.027707946223631,0.0013626313695847326
11,4,4,4.027777777777778,0,0,0,2,0,0.09672779576,731.7572501134106,0.44758506772381895,0.1111111111111111,9,3.394908289064849,2.280272654370489,0.6727277864049525,-1.199866540008512e-7,0.19073670300627685,6,2.4873341375150786,6.116578519098383e-4
12,-2,4,3.9166666666666665,-2,200,0,1,0,41.4733382,9892.184203705876,0.9518155819395094,0.5,2,646.0588235294117,2,0.22371807606583377,1.2072227841338494e-10,0.00771297339457492,3,2.0697674418604652,9.621895047030503e-5
13,0,1,4.111111111111111,1,200,0,6,0,1.035362742,422.8669572717711,0.49685694688982696,0.1111111111111111,9,2.845393804413849,2.4012310682756945,0.838940104752717,-2.8993924418682235e-7,0.30187451828910433,10,2.7612702929952784,0.0011749722657344054
14,-5,4,4.75,5,-600,0,2,0,0.1836510264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
